LINE_L3235946_1,L3235946,M1126005
LINE_L3236004_0,L3236004,M1125955
LINE_L3236011_0,L3236011,L3198358
LINE_L3236011_1,L3236011,M1108302
LINE_L3251799_0,L3251799,P901941
LINE_L3251806_0,L3251806,M1009843
LINE_L3251807_0,L3251807,M1010016
LINE_L3251808_0,L3251808,M1027100
LINE_L3251808_1,L3251808,N1134470
LINE_L3251830_0,L3251830,L2879075
LINE_L3251854_0,L3251854,L2748143
LINE_L3252336_0,L3252336,L2802480
LINE_L3252336_1,L3252336,L3233413
LINE_L3253570_0,L3253570,L2937757
LINE_L3253570_1,L3253570,M1209828
LINE_L3253995_0,L3253995,N1136672
LINE_L3254203_0,L3254203,M1047836
LINE_L3254204_0,L3254204,L2860482
LINE_L3254205_0,L3254205,M1047318
LINE_L3254206_0,L3254206,M1009827
LINE_L3254206_1,L3254206,M1009828
LINE_L3254207_0,L3254207,M1069390
LINE_L3254207_1,L3254207,N1138596
LINE_L3254208_0,L3254208,L2897767
LINE_L3254209_0,L3254209,M1047478
LINE_L3254210_0,L3254210,M1069155
LINE_L3254211_0,L3254211,M1047386
LINE_L3254212_0,L3254212,L2748130
LINE_L3254213_0,L3254213,M1027023
LINE_L3254213_1,L3254213,M1027039
LINE_L3254214_0,L3254214,L3214112
LINE_L3254214_1,L3254214,M4362181
LINE_L3254215_0,L3254215,L2897776
LINE_L3254216_0,L3254216,L2841627
LINE_L3254216_1,L3254216,M1047401
LINE_L3254217_0,L3254217,M1026800
LINE_L3254217_1,L3254217,N1140521
LINE_L3254218_0,L3254218,L2860490
LINE_L3254218_1,L3254218,R18242
LINE_L3254219_0,L3254219,L3254220
LINE_L3254219_1,L3254219,M1047346
LINE_L3254220_0,L3254220,L3254219
LINE_L3254227_0,L3254227,L2783231
LINE_L3254227_1,L3254227,M1069550
LINE_L3254228_0,L3254228,M1069627
LINE_L3254229_0,L3254229,M1069558
LINE_L3254229_1,L3254229,M1069565
LINE_L3254230_0,L3254230,M1047711
LINE_L3254230_1,L3254230,M1069524
LINE_L3254231_0,L3254231,M1069521
LINE_L3254234_0,L3254234,L3104114
LINE_L3254234_1,L3254234,M1009820
LINE_L3254237_0,L3254237,M1108381
LINE_L3254237_1,L3254237,M1108387
LINE_L3254238_0,L3254238,L2673346
LINE_L3254238_1,L3254238,M1047303
LINE_L3254869_0,L3254869,L2798067
LINE_L3254869_1,L3254869,M1125978
LINE_L3254870_0,L3254870,L3030126
LINE_L3254870_1,L3254870,M1125943
LINE_L3254873_0,L3254873,M1166391
LINE_L3254873_1,L3254873,M1166393
LINE_L3254915_0,L3254915,M1125940
LINE_L3263051_0,L3263051,L2972704
LINE_L3263051_1,L3263051,M1069199
LINE_L3270814_0,L3270814,M1026942
LINE_L3270853_0,L3270853,M1027027
LINE_L3270854_0,L3270854,M1089131
LINE_L3312692_0,L3312692,M3016088
LINE_L3315860_0,L3315860,M3021569
LINE_L3342743_0,L3342743,M1026883
LINE_L3342743_1,L3342743,N1140527
LINE_L3448661_0,L3448661,M3327097
LINE_L3552667_0,L3552667,L3160862
LINE_L3552667_1,L3552667,M1142873
LINE_L3626914_0,L3626914,L3141388
LINE_L3626914_1,L3626914,M1089102
LINE_L3632979_0,L3632979,M3729981
LINE_L3645809_0,L3645809,L3645810
LINE_L3645809_1,L3645809,N1140525
LINE_L3645810_0,L3645810,L3645809
LINE_L3645810_1,L3645810,M3763623
LINE_L3645811_0,L3645811,193-103041
LINE_L3645811_1,L3645811,M3763623
LINE_L3645812_0,L3645812,228-1353934-4_INT
LINE_L3645812_1,L3645812,M3763620
LINE_L3649297_0,L3649297,L3649298
LINE_L3649297_1,L3649297,N1140528
LINE_L3649298_0,L3649298,L3649297
LINE_L3649298_1,L3649298,L3649299
LINE_L3649299_0,L3649299,L3649298
LINE_L3649299_1,L3649299,M3772794
LINE_L3649300_0,L3649300,L3649301
LINE_L3649300_1,L3649300,M3772794
LINE_L3649301_0,L3649301,L3649300
LINE_L3649301_1,L3649301,L3649302
LINE_L3649302_0,L3649302,L3649301
LINE_L3649302_1,L3649302,L3649304
LINE_L3649304_0,L3649304,L3649302
LINE_L3649304_1,L3649304,L3649305
LINE_L3649305_0,L3649305,L3649304
LINE_L3649306_0,L3649306,M3772794
LINE_L3727707_0,L3727707,L3727708
LINE_L3727707_1,L3727707,L3729298
LINE_L3727708_0,L3727708,L3727707
LINE_L3727708_1,L3727708,M3949157
LINE_L3727709_0,L3727709,L3727710
LINE_L3727709_1,L3727709,M3949157
LINE_L3727710_0,L3727710,L3727709
LINE_L3727711_0,L3727711,L3727712
LINE_L3727711_1,L3727711,M3949157
LINE_L3727712_0,L3727712,L3727711
LINE_L3728037_0,L3728037,M3949154
LINE_L3728037_1,L3728037,M3949157
LINE_L3728038_0,L3728038,L3728039
LINE_L3728038_1,L3728038,M3949154
LINE_L3728039_0,L3728039,L3728038
LINE_L3728039_1,L3728039,L3728040
LINE_L3728040_0,L3728040,L3728039
LINE_L3728040_1,L3728040,L3728041
LINE_L3728041_0,L3728041,L3728040
LINE_L3728042_0,L3728042,L3728043
LINE_L3728042_1,L3728042,M3949154
LINE_L3728043_0,L3728043,L3728042
LINE_L3729297_0,L3729297,L3729298
LINE_L3729297_1,L3729297,P1164481
LINE_L3729298_0,L3729298,L3727707
LINE_L3729298_1,L3729298,L3729297
LINE_L3778577_0,L3778577,L2897769
LINE_L3778577_1,L3778577,L3141395
LINE_L3784018_0,L3784018,L2973155
LINE_L3784018_1,L3784018,N1136028
LINE_M1008733_0,M1008733,L3048200
LINE_M1008733_1,M1008733,L3216339
LINE_M1008733_2,M1008733,L3225319
LINE_M1008742_0,M1008742,L2804247
LINE_M1008742_1,M1008742,L3029495
LINE_M1008742_2,M1008742,M1008743
LINE_M1008743_0,M1008743,L3104115
LINE_M1008743_1,M1008743,M1008742
LINE_M1008743_2,M1008743,M1008746
LINE_M1008746_0,M1008746,L2954339
LINE_M1008746_1,M1008746,M1008743
LINE_M1008746_2,M1008746,M1008752
LINE_M1008752_0,M1008752,L2710537
LINE_M1008752_1,M1008752,L3085389
LINE_M1008752_2,M1008752,M1008746
LINE_M1008753_0,M1008753,L2673300
LINE_M1008753_1,M1008753,L3141390
LINE_M1008753_2,M1008753,M1026307
LINE_M1008758_0,M1008758,L2673300
LINE_M1008758_1,M1008758,L2710537
LINE_M1008758_2,M1008758,L2822859
LINE_M1008758_3,M1008758,L2991902
LINE_M1009650_0,M1009650,E203026
LINE_M1009650_1,M1009650,M1009651
LINE_M1009651_0,M1009651,L2879092
LINE_M1009651_1,M1009651,M1009650
LINE_M1009651_2,M1009651,M1026655
LINE_M1009655_0,M1009655,N1141475
LINE_M1009655_1,M1009655,P827528
LINE_M1009691_0,M1009691,L2748140
LINE_M1009691_1,M1009691,L3066821
LINE_M1009698_0,M1009698,L3156034
LINE_M1009698_1,M1009698,M1009705
LINE_M1009698_2,M1009698,M1026767
LINE_M1009705_0,M1009705,M1009698
LINE_M1009705_1,M1009705,M1009715
LINE_M1009715_0,M1009715,L3010563
LINE_M1009715_1,M1009715,M1009705
LINE_M1009715_2,M1009715,M1009720
LINE_M1009720_0,M1009720,L3178982
LINE_M1009720_1,M1009720,M1009715
LINE_M1009720_2,M1009720,M1009724
LINE_M1009724_0,M1009724,M1009720
LINE_M1009724_1,M1009724,M1009726
LINE_M1009726_0,M1009726,L3101789
LINE_M1009726_1,M1009726,M1009724
LINE_M1009726_2,M1009726,P901972
LINE_M1009742_0,M1009742,N1147857
LINE_M1009742_1,M1009742,P901972
LINE_M1009763_0,M1009763,E182733
LINE_M1009763_1,M1009763,L2673322
LINE_M1009763_2,M1009763,L2689691
LINE_M1009763_3,M1009763,L2766730
LINE_M1009770_0,M1009770,L2689691
LINE_M1009770_1,M1009770,M1009771
LINE_M1009770_2,M1009770,M1009784
LINE_M1009770_3,M1009770,N1147857
LINE_M1009771_0,M1009771,L2914323
LINE_M1009771_1,M1009771,M1009770
LINE_M1009784_0,M1009784,M1009770
LINE_M1009784_1,M1009784,M1009805
LINE_M1009805_0,M1009805,M1009784
LINE_M1009805_1,M1009805,M1009807
LINE_M1009807_0,M1009807,L2673323
LINE_M1009807_1,M1009807,M1009805
LINE_M1009807_2,M1009807,M1026824
LINE_M1009809_0,M1009809,L2673323
LINE_M1009809_1,M1009809,L2710525
LINE_M1009820_0,M1009820,L2766742
LINE_M1009820_1,M1009820,L3254234
LINE_M1009824_0,M1009824,L2691939
LINE_M1009824_1,M1009824,L2822857
LINE_M1009824_2,M1009824,L2954338
LINE_M1009824_3,M1009824,L3104114
LINE_M1009827_0,M1009827,L3254206
LINE_M1009827_1,M1009827,M1009832
LINE_M1009827_2,M1009827,M3019248
LINE_M1009828_0,M1009828,L2766715
LINE_M1009828_1,M1009828,L2954338
LINE_M1009828_2,M1009828,L3254206
LINE_M1009832_0,M1009832,L2860479
LINE_M1009832_1,M1009832,M1009827
LINE_M1009832_2,M1009832,M1009834
LINE_M1009832_3,M1009832,M1009838
LINE_M1009834_0,M1009834,L3178969
LINE_M1009834_1,M1009834,M1009832
LINE_M1009838_0,M1009838,L2801896
LINE_M1009838_1,M1009838,L2804245
LINE_M1009838_2,M1009838,M1009832
LINE_M1009838_3,M1009838,M1009843
LINE_M1009839_0,M1009839,L2673326
LINE_M1009839_1,M1009839,L2801896
LINE_M1009840_0,M1009840,L2691938
LINE_M1009840_1,M1009840,L2991901
LINE_M1009840_2,M1009840,L3216338
LINE_M1009843_0,M1009843,L3160108
LINE_M1009843_1,M1009843,L3251806
LINE_M1009843_2,M1009843,M1009838
LINE_M1009843_3,M1009843,M1009855
LINE_M1009855_0,M1009855,L2748139
LINE_M1009855_1,M1009855,L2991927
LINE_M1009855_2,M1009855,M1009843
LINE_M1010003_0,M1010003,L2989571
LINE_M1010003_1,M1010003,M1010004
LINE_M1010004_0,M1010004,L3177894
LINE_M1010004_1,M1010004,M1010003
LINE_M1010004_2,M1010004,M1010007
LINE_M1010007_0,M1010007,M1010004
LINE_M1010007_1,M1010007,M1010008
LINE_M1010008_0,M1010008,M1010007
LINE_M1010008_1,M1010008,M1010011
LINE_M1010011_0,M1010011,L3120504
LINE_M1010011_1,M1010011,M1010008
LINE_M1010011_2,M1010011,M1010014
LINE_M1010013_0,M1010013,L3120503
LINE_M1010013_1,M1010013,M1010014
LINE_M1010014_0,M1010014,M1010011
LINE_M1010014_1,M1010014,M1010013
LINE_M1010014_2,M1010014,M1010015
LINE_M1010015_0,M1010015,M1010014
LINE_M1010015_1,M1010015,M1010016
LINE_M1010016_0,M1010016,L3251807
LINE_M1010016_1,M1010016,M1010015
LINE_M1010016_2,M1010016,M1010017
LINE_M1010017_0,M1010017,L2858175
LINE_M1010017_1,M1010017,M1010016
LINE_M1010017_2,M1010017,N1134469
LINE_M1026307_0,M1026307,L3085388
LINE_M1026307_1,M1026307,M1008753
LINE_M1026308_0,M1026308,L2860488
LINE_M1026308_1,M1026308,L2897764
LINE_M1026308_2,M1026308,L2991902
LINE_M1026308_3,M1026308,L2991918
LINE_M1026309_0,M1026309,L2804260
LINE_M1026309_1,M1026309,L2860488
LINE_M1026309_2,M1026309,L2973163
LINE_M1026312_0,M1026312,L2973163
LINE_M1026312_1,M1026312,M4118754
LINE_M1026320_0,M1026320,L2879079
LINE_M1026320_1,M1026320,L3104130
LINE_M1026320_2,M1026320,M1026323
LINE_M1026323_0,M1026323,L2991917
LINE_M1026323_1,M1026323,M1026320
LINE_M1026323_2,M1026323,M1026324
LINE_M1026324_0,M1026324,L2841636
LINE_M1026324_1,M1026324,M1026323
LINE_M1026327_0,M1026327,E182731
LINE_M1026327_1,M1026327,L2841636
LINE_M1026327_2,M1026327,L3122823
LINE_M1026327_3,M1026327,L3197643
LINE_M1026328_0,M1026328,D6140778-1_INT
LINE_M1026328_1,M1026328,M1026329
LINE_M1026329_0,M1026329,L3104135
LINE_M1026329_1,M1026329,M1026328
LINE_M1026329_2,M1026329,M1026330
LINE_M1026330_0,M1026330,L2766726
LINE_M1026330_1,M1026330,L2785526
LINE_M1026330_2,M1026330,M1026329
LINE_M1026330_3,M1026330,M1026331
LINE_M1026331_0,M1026331,L3214055
LINE_M1026331_1,M1026331,M1026330
LINE_M1026331_2,M1026331,M1026333
LINE_M1026333_0,M1026333,L2973162
LINE_M1026333_1,M1026333,M1026331
LINE_M1026333_2,M1026333,N1145955
LINE_M1026335_0,M1026335,L2804259
LINE_M1026335_1,M1026335,N1145955
LINE_M1026339_0,M1026339,L2766727
LINE_M1026339_1,M1026339,L3029507
LINE_M1026339_2,M1026339,L3197643
LINE_M1026341_0,M1026341,L2973162
LINE_M1026341_1,M1026341,M1026347
LINE_M1026341_2,M1026341,P827531
LINE_M1026343_0,M1026343,L2748135
LINE_M1026343_1,M1026343,M1026344
LINE_M1026343_2,M1026343,P827531
LINE_M1026344_0,M1026344,L2991919
LINE_M1026344_1,M1026344,M1026343
LINE_M1026344_2,M1026344,M1026364
LINE_M1026347_0,M1026347,L3235275
LINE_M1026347_1,M1026347,M1026341
LINE_M1026347_2,M1026347,N1145956
LINE_M1026354_0,M1026354,L3235275
LINE_M1026354_1,M1026354,M1026356
LINE_M1026356_0,M1026356,M1026354
LINE_M1026356_1,M1026356,M1026357
LINE_M1026357_0,M1026357,L3122849
LINE_M1026357_1,M1026357,L3178997
LINE_M1026357_2,M1026357,M1026356
LINE_M1026361_0,M1026361,L2991919
LINE_M1026361_1,M1026361,L3122825
LINE_M1026361_2,M1026361,M1026366
LINE_M1026363_0,M1026363,L2897779
LINE_M1026363_1,M1026363,L3178997
LINE_M1026364_0,M1026364,L3010570
LINE_M1026364_1,M1026364,M1026344
LINE_M1026366_0,M1026366,L2860489
LINE_M1026366_1,M1026366,L3104131
LINE_M1026366_2,M1026366,L3122824
LINE_M1026366_3,M1026366,M1026361
LINE_M1026377_0,M1026377,L3048210
LINE_M1026377_1,M1026377,L3104131
LINE_M1026377_2,M1026377,M1026378
LINE_M1026378_0,M1026378,L2897778
LINE_M1026378_1,M1026378,M1026377
LINE_M1026387_0,M1026387,L3085402
LINE_M1026387_1,M1026387,L3104132
LINE_M1026387_2,M1026387,M3037452
LINE_M1026393_0,M1026393,L2804252
LINE_M1026393_1,M1026393,L2935559
LINE_M1026393_2,M1026393,M1026394
LINE_M1026394_0,M1026394,L3085402
LINE_M1026394_1,M1026394,M1026393
LINE_M1026463_0,M1026463,L2689678
LINE_M1026463_1,M1026463,M1026468
LINE_M1026463_2,M1026463,P827495
LINE_M1026466_0,M1026466,D5865224-1_INT
LINE_M1026466_1,M1026466,P827495
LINE_M1026468_0,M1026468,L2766732
LINE_M1026468_1,M1026468,M1026463
LINE_M1026468_2,M1026468,P901909
LINE_M1026472_0,M1026472,D5472341-1_INT
LINE_M1026472_1,M1026472,P901909
LINE_M1026485_0,M1026485,L2766732
LINE_M1026485_1,M1026485,M1026492
LINE_M1026485_2,M1026485,P827542
LINE_M1026486_0,M1026486,M1026487
LINE_M1026486_1,M1026486,M1026488
LINE_M1026486_2,M1026486,P827542
LINE_M1026487_0,M1026487,L2897784
LINE_M1026487_1,M1026487,M1026486
LINE_M1026488_0,M1026488,D6047588-1_INT
LINE_M1026488_1,M1026488,M1026486
LINE_M1026492_0,M1026492,L3048231
LINE_M1026492_1,M1026492,M1026485
LINE_M1026496_0,M1026496,L2691959
LINE_M1026496_1,M1026496,L2897784
LINE_M1026646_0,M1026646,L2710517
LINE_M1026646_1,M1026646,L3178978
LINE_M1026646_2,M1026646,N1139549
LINE_M1026647_0,M1026647,M1026648
LINE_M1026647_1,M1026647,M3036169
LINE_M1026648_0,M1026648,L2729428
LINE_M1026648_1,M1026648,L2973159
LINE_M1026648_2,M1026648,M1026647
LINE_M1026655_0,M1026655,M1009651
LINE_M1026655_1,M1026655,M1026658
LINE_M1026655_2,M1026655,N1141474
LINE_M1026655_3,M1026655,N1141475
LINE_M1026656_0,M1026656,L2729428
LINE_M1026656_1,M1026656,M1026657
LINE_M1026657_0,M1026657,M1026656
LINE_M1026657_1,M1026657,M1026660
LINE_M1026658_0,M1026658,L2673319
LINE_M1026658_1,M1026658,L3172805
LINE_M1026658_2,M1026658,M1026655
LINE_M1026660_0,M1026660,L3160106
LINE_M1026660_1,M1026660,M1026657
LINE_M1026660_2,M1026660,M1026665
LINE_M1026661_0,M1026661,M1026667
LINE_M1026661_1,M1026661,P827530
LINE_M1026662_0,M1026662,L2673319
LINE_M1026662_1,M1026662,M1026670
LINE_M1026662_2,M1026662,N1140831
LINE_M1026662_3,M1026662,N1140832
LINE_M1026662_4,M1026662,N1141473
LINE_M1026665_0,M1026665,L2954355
LINE_M1026665_1,M1026665,L3232933
LINE_M1026665_2,M1026665,M1026660
LINE_M1026667_0,M1026667,L3066816
LINE_M1026667_1,M1026667,M1026661
LINE_M1026670_0,M1026670,M1026662
LINE_M1026670_1,M1026670,M3036170
LINE_M1026679_0,M1026679,N1138594
LINE_M1026679_1,M1026679,P827537
LINE_M1026681_0,M1026681,L2879078
LINE_M1026681_1,M1026681,L3048221
LINE_M1026682_0,M1026682,L2879081
LINE_M1026682_1,M1026682,L3066816
LINE_M1026690_0,M1026690,L2879078
LINE_M1026690_1,M1026690,M1026697
LINE_M1026690_2,M1026690,N1140830
LINE_M1026693_0,M1026693,L2879077
LINE_M1026693_1,M1026693,L2991916
LINE_M1026693_2,M1026693,M1026699
LINE_M1026695_0,M1026695,N1138594
LINE_M1026695_1,M1026695,N1139551
LINE_M1026695_2,M1026695,N1140818
LINE_M1026697_0,M1026697,M1026690
LINE_M1026697_1,M1026697,M1026701
LINE_M1026699_0,M1026699,M1026693
LINE_M1026699_1,M1026699,M1026704
LINE_M1026699_2,M1026699,M1026722
LINE_M1026700_0,M1026700,M1026706
LINE_M1026700_1,M1026700,N1140819
LINE_M1026700_2,M1026700,N1140820
LINE_M1026700_3,M1026700,N1140821
LINE_M1026700_4,M1026700,N1140823
LINE_M1026701_0,M1026701,M1026697
LINE_M1026701_1,M1026701,M1026709
LINE_M1026701_2,M1026701,P827560
LINE_M1026702_0,M1026702,L2729414
LINE_M1026702_1,M1026702,N1139551
LINE_M1026702_2,M1026702,N1139552
LINE_M1026703_0,M1026703,L2973166
LINE_M1026703_1,M1026703,N1140829
LINE_M1026704_0,M1026704,L2841634
LINE_M1026704_1,M1026704,L2991915
LINE_M1026704_2,M1026704,M1026699
LINE_M1026705_0,M1026705,L2710532
LINE_M1026705_1,M1026705,N1140829
LINE_M1026705_2,M1026705,P827561
LINE_M1026706_0,M1026706,M1026700
LINE_M1026706_1,M1026706,N1140822
LINE_M1026706_2,M1026706,N1140825
LINE_M1026706_3,M1026706,N1140828
LINE_M1026708_0,M1026708,M1026709
LINE_M1026708_1,M1026708,N1140828
LINE_M1026709_0,M1026709,M1026701
LINE_M1026709_1,M1026709,M1026708
LINE_M1026709_2,M1026709,P827561
LINE_M1026713_0,M1026713,L2785530
LINE_M1026713_1,M1026713,L2860504
LINE_M1026713_2,M1026713,N1147866
LINE_M1026722_0,M1026722,M1026699
LINE_M1026722_1,M1026722,M1026736
LINE_M1026724_0,M1026724,M1026744
LINE_M1026724_1,M1026724,R18243
LINE_M1026726_0,M1026726,L2814529
LINE_M1026726_1,M1026726,L2876847
LINE_M1026726_2,M1026726,L2916610
LINE_M1026726_3,M1026726,N1140827
LINE_M1026732_0,M1026732,L2766747
LINE_M1026732_1,M1026732,L3047058
LINE_M1026732_2,M1026732,M1026734
LINE_M1026734_0,M1026734,L3065696
LINE_M1026734_1,M1026734,M1026732
LINE_M1026736_0,M1026736,M1026722
LINE_M1026736_1,M1026736,M1026745
LINE_M1026744_0,M1026744,M1026724
LINE_M1026744_1,M1026744,M1026760
LINE_M1026744_2,M1026744,N1140817
LINE_M1026745_0,M1026745,L3029183
LINE_M1026745_1,M1026745,M1026736
LINE_M1026760_0,M1026760,E182732
LINE_M1026760_1,M1026760,M1026744
LINE_M1026764_0,M1026764,L3029500
LINE_M1026764_1,M1026764,L3178976
LINE_M1026767_0,M1026767,L3029500
LINE_M1026767_1,M1026767,L3216346
LINE_M1026767_2,M1026767,M1009698
LINE_M1026769_0,M1026769,D6140776-1_INT
LINE_M1026769_1,M1026769,L2841633
LINE_M1026769_2,M1026769,M1026774
LINE_M1026773_0,M1026773,L2821010
LINE_M1026773_1,M1026773,L3195751
LINE_M1026773_2,M1026773,M1026777
LINE_M1026774_0,M1026774,M1026769
LINE_M1026774_1,M1026774,M1026780
LINE_M1026777_0,M1026777,L3233353
LINE_M1026777_1,M1026777,M1026773
LINE_M1026778_0,M1026778,L3197647
LINE_M1026779_0,M1026779,L2973169
LINE_M1026779_1,M1026779,L3178976
LINE_M1026780_0,M1026780,M1026774
LINE_M1026780_1,M1026780,M1026783
LINE_M1026783_0,M1026783,M1026780
LINE_M1026783_1,M1026783,M1026784
LINE_M1026783_2,M1026783,M1026785
LINE_M1026783_3,M1026783,N1140524
LINE_M1026784_0,M1026784,M1026783
LINE_M1026784_1,M1026784,N1140523
LINE_M1026785_0,M1026785,M1026783
LINE_M1026785_1,M1026785,M1026786
LINE_M1026786_0,M1026786,M1026785
LINE_M1026786_1,M1026786,M1026795
LINE_M1026792_0,M1026792,L2821010
LINE_M1026792_1,M1026792,L2895461
LINE_M1026792_2,M1026792,L3120502
LINE_M1026795_0,M1026795,M1026786
LINE_M1026795_1,M1026795,M1026796
LINE_M1026795_2,M1026795,N1140522
LINE_M1026796_0,M1026796,M1026795
LINE_M1026796_1,M1026796,M1026797
LINE_M1026797_0,M1026797,M1026796
LINE_M1026797_1,M1026797,M1026800
LINE_M1026798_0,M1026798,L2952014
LINE_M1026798_1,M1026798,L3010585
LINE_M1026800_0,M1026800,L3254217
LINE_M1026800_1,M1026800,M1026797
LINE_M1026805_0,M1026805,L2914324
LINE_M1026805_1,M1026805,L3010585
LINE_M1026805_2,M1026805,L3120502
LINE_M1026807_0,M1026807,M1026808
LINE_M1026807_1,M1026807,N1140521
LINE_M1026808_0,M1026808,L2822869
LINE_M1026808_1,M1026808,M1026807
LINE_M1026808_2,M1026808,N1140520
LINE_M1026810_0,M1026810,L2785546
LINE_M1026810_1,M1026810,L2914324
LINE_M1026812_0,M1026812,L3122847
LINE_M1026812_1,M1026812,M3037453
LINE_M1026820_0,M1026820,L3141403
LINE_M1026820_1,M1026820,M1026823
LINE_M1026820_2,M1026820,M1026826
LINE_M1026823_0,M1026823,L2879087
LINE_M1026823_1,M1026823,M1026820
LINE_M1026824_0,M1026824,M1009807
LINE_M1026824_1,M1026824,M1026829
LINE_M1026824_2,M1026824,P859694
LINE_M1026826_0,M1026826,L2952013
LINE_M1026826_1,M1026826,L3216358
LINE_M1026826_2,M1026826,M1026820
LINE_M1026829_0,M1026829,M1026824
LINE_M1026829_1,M1026829,M1026834
LINE_M1026829_2,M1026829,N1147859
LINE_M1026830_0,M1026830,L2879070
LINE_M1026830_1,M1026830,M3763619
LINE_M1026830_2,M1026830,P827511
LINE_M1026834_0,M1026834,L2876814
LINE_M1026834_1,M1026834,M1026829
LINE_M1026834_2,M1026834,N1147860
LINE_M1026844_0,M1026844,L2876814
LINE_M1026844_1,M1026844,M1026866
LINE_M1026844_2,M1026844,N1147861
LINE_M1026847_0,M1026847,L2673311
LINE_M1026847_1,M1026847,M1026848
LINE_M1026848_0,M1026848,L2935557
LINE_M1026848_1,M1026848,M1026847
LINE_M1026848_2,M1026848,M1026849
LINE_M1026849_0,M1026849,L3197638
LINE_M1026849_1,M1026849,M1026848
LINE_M1026851_0,M1026851,L3197646
LINE_M1026851_1,M1026851,L3235257
LINE_M1026851_2,M1026851,P827536
LINE_M1026852_0,M1026852,L2785529
LINE_M1026852_1,M1026852,L3197646
LINE_M1026852_2,M1026852,M1026854
LINE_M1026854_0,M1026854,M1026852
LINE_M1026854_1,M1026854,M1026858
LINE_M1026854_2,M1026854,P901894
LINE_M1026855_0,M1026855,L3235254
LINE_M1026855_1,M1026855,M1026861
LINE_M1026857_0,M1026857,L2973165
LINE_M1026857_1,M1026857,M1026859
LINE_M1026857_2,M1026857,P901894
LINE_M1026858_0,M1026858,M1026854
LINE_M1026858_1,M1026858,M1026861
LINE_M1026859_0,M1026859,M1026857
LINE_M1026859_1,M1026859,N1138593
LINE_M1026861_0,M1026861,M1026855
LINE_M1026861_1,M1026861,M1026858
LINE_M1026866_0,M1026866,M1026844
LINE_M1026866_1,M1026866,M1026876
LINE_M1026866_2,M1026866,N1147862
LINE_M1026872_0,M1026872,D5502543-2_INT
LINE_M1026872_1,M1026872,L2822871
LINE_M1026874_0,M1026874,L3197638
LINE_M1026874_1,M1026874,M1026880
LINE_M1026876_0,M1026876,M1026866
LINE_M1026876_1,M1026876,P827514
LINE_M1026877_0,M1026877,L2729413
LINE_M1026877_1,M1026877,L2841639
LINE_M1026877_2,M1026877,M1026906
LINE_M1026880_0,M1026880,L2766748
LINE_M1026880_1,M1026880,M1026874
LINE_M1026880_2,M1026880,P860847
LINE_M1026883_0,M1026883,L3342743
LINE_M1026883_1,M1026883,M1026898
LINE_M1026886_0,M1026886,L3120484
LINE_M1026886_1,M1026886,P895409
LINE_M1026886_2,M1026886,Q14413
LINE_M1026890_0,M1026890,L2691973
LINE_M1026890_1,M1026890,L2954357
LINE_M1026891_0,M1026891,L3085398
LINE_M1026891_1,M1026891,L3160102
LINE_M1026891_2,M1026891,N1147863
LINE_M1026895_0,M1026895,L2820528
LINE_M1026895_1,M1026895,N1137998
LINE_M1026896_0,M1026896,L3120484
LINE_M1026896_1,M1026896,P827525
LINE_M1026896_2,M1026896,P860847
LINE_M1026898_0,M1026898,L3197661
LINE_M1026898_1,M1026898,M1026883
LINE_M1026902_0,M1026902,M1026905
LINE_M1026902_1,M1026902,N1147864
LINE_M1026902_2,M1026902,P827525
LINE_M1026905_0,M1026905,M1026902
LINE_M1026905_1,M1026905,M1026907
LINE_M1026905_2,M1026905,P827515
LINE_M1026906_0,M1026906,L2691973
LINE_M1026906_1,M1026906,L2916598
LINE_M1026906_2,M1026906,L3048212
LINE_M1026906_3,M1026906,L3120376
LINE_M1026906_4,M1026906,M1026877
LINE_M1026907_0,M1026907,L3085398
LINE_M1026907_1,M1026907,M1026905
LINE_M1026907_2,M1026907,M1026915
LINE_M1026907_3,M1026907,P875742
LINE_M1026915_0,M1026915,M1026907
LINE_M1026915_1,M1026915,M1026916
LINE_M1026915_2,M1026915,M1026920
LINE_M1026916_0,M1026916,L3197634
LINE_M1026916_1,M1026916,M1026915
LINE_M1026920_0,M1026920,L2729408
LINE_M1026920_1,M1026920,M1026915
LINE_M1026920_2,M1026920,M1026926
LINE_M1026925_0,M1026925,L2916599
LINE_M1026925_1,M1026925,L3120376
LINE_M1026925_2,M1026925,L3235249
LINE_M1026926_0,M1026926,M1026920
LINE_M1026926_1,M1026926,M1026927
LINE_M1026926_2,M1026926,N1138000
LINE_M1026927_0,M1026927,196-29518
LINE_M1026927_1,M1026927,M1026926
LINE_M1026931_0,M1026931,L2841615
LINE_M1026931_1,M1026931,L3216336
LINE_M1026931_2,M1026931,L3216337
LINE_M1026935_0,M1026935,L2935556
LINE_M1026935_1,M1026935,M1026940
LINE_M1026939_0,M1026939,L3104124
LINE_M1026939_1,M1026939,M1026940
LINE_M1026940_0,M1026940,M1026935
LINE_M1026940_1,M1026940,M1026939
LINE_M1026940_2,M1026940,M1026946
LINE_M1026941_0,M1026941,L2691936
LINE_M1026941_1,M1026941,L3197618
LINE_M1026941_2,M1026941,M1026942
LINE_M1026942_0,M1026942,L3141389
LINE_M1026942_1,M1026942,L3270814
LINE_M1026942_2,M1026942,M1026941
LINE_M1026946_0,M1026946,M1026940
LINE_M1026946_1,M1026946,M1026947
LINE_M1026947_0,M1026947,M1026946
